"Model","AUPRC","Site"
"Central",0.907532250406237,1
"Site1_Local",0.915145376380748,1
"Site2_Local",0.900621929968112,1
"Site3_Local",0.907340740827859,1
"Meta",0.908295482780664,1
"GLORE",0.907532250406237,1
"fedavg",0.908395666510402,1
"Qfedavg",0.909028699249291,1
"fedavgM",0.908151737705352,1
"coef_fedprox_lr0.01_drop0_mu0",0.907631014386226,1
"Central",0.886675690812492,2
"Site1_Local",0.880878297207288,2
"Site2_Local",0.890253430737494,2
"Site3_Local",0.884966711151554,2
"Meta",0.887395632610562,2
"GLORE",0.886675690812492,2
"fedavg",0.887461655322018,2
"Qfedavg",0.887380666625192,2
"fedavgM",0.887196331276485,2
"coef_fedprox_lr0.01_drop0_mu0",0.886538840295116,2
"Central",0.905256877357359,3
"Site1_Local",0.904429910468393,3
"Site2_Local",0.902328875116957,3
"Site3_Local",0.908015071893974,3
"Meta",0.90805924706471,3
"GLORE",0.905256877357359,3
"fedavg",0.907080379498023,3
"Qfedavg",0.906449817229551,3
"fedavgM",0.906172755039416,3
"coef_fedprox_lr0.01_drop0_mu0",0.905195985765854,3
