"vars","p.value","z","V2_better","site"
"Site1_Local","0.0611874270979479","-1.54488180940333",FALSE,1
"Site2_Local","0.943794649456743","1.58745027219252",FALSE,1
"Site3_Local","0.711391160626721","0.557453415586129",FALSE,1
"Meta","0.426743511881634","-0.184671088981072",FALSE,1
"GLORE","0.5","0",FALSE,1
"fedavg","0.25115942530668","-0.670845669161174",FALSE,1
"Qfedavg","0.0711072568305449","-1.46759409240791",FALSE,1
"fedavgM","0.0979900109629993","-1.29308974385133",FALSE,1
"coef_fedprox_lr0.01_drop0_mu0","0.402912697046062","-0.245815065703671",FALSE,1
"Site1_Local","0.973310737425051","1.93184592996326",FALSE,2
"Site2_Local","0.322846024017622","-0.459755053793347",FALSE,2
"Site3_Local","0.56582928967352","0.165765597584899",FALSE,2
"Meta","0.243045961596384","-0.696538071931087",FALSE,2
"GLORE","0.5","0",FALSE,2
"fedavg","0.255443135380725","-0.657458307364205",FALSE,2
"Qfedavg","0.2487850990475","-0.678317826704228",FALSE,2
"fedavgM","0.337948702554673","-0.418067993781536",FALSE,2
"coef_fedprox_lr0.01_drop0_mu0","0.771136966371055","0.742596402431216",FALSE,2
"Site1_Local","0.997824625908077","2.8515438726724",FALSE,3
"Site2_Local","0.721555714016356","0.587469286727937",FALSE,3
"Site3_Local","0.176438877226985","-0.929021866193235",FALSE,3
"Meta","0.185222416470124","-0.89564043439079",FALSE,3
"GLORE","0.5","0",FALSE,3
"fedavg","0.142527114078145","-1.06903426871168",FALSE,3
"Qfedavg","0.465366745134643","-0.0869220276295977",FALSE,3
"fedavgM","0.486952411925867","-0.0327112859126911",FALSE,3
"coef_fedprox_lr0.01_drop0_mu0","0.791101643939878","0.81024964102113",FALSE,3
