"","x"
"1",0.55958486550139
"2",-1.39912938190659
"3",0.671224813327783
"4",0.510183949918862
"5",0.107807283826815
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0.0104292964671547
"17",0
"18",0
"19",0
"20",0
"21",0.00600737340256438
"22",0
"23",0.01241863993822
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",-0.0253017082351327
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0.122755336029883
"46",0
"47",0
"48",-0.0387169068144761
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",-0.0485117468747392
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0.101310198218415
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",-0.0257646963914923
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",-0.0199240005305052
"98",0
"99",0
"100",0
"101",0
