"","x"
"1",0.276163446977116
"2",-1.76976959092265
"3",0.850911297126963
"4",0.719132517577028
"5",0.276900270434687
"6",0.117363849557837
"7",0.0174265353645103
"8",0
"9",0
"10",0
"11",0
"12",0.00116851486732742
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0.0113048273892581
"24",0
"25",-0.0274272733294456
"26",0
"27",0
"28",-0.0105853152921335
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",-0.00311481905528192
"42",0
"43",0
"44",-0.00245122315897948
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0.00190295453087662
"55",-0.0045198086510463
"56",0
"57",0
"58",0
"59",0.00430874841760799
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",-0.0501390467738525
"67",0
"68",0
"69",0
"70",0
"71",0.0297876194473838
"72",-0.031773249584334
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",2.75885879150185e-06
"81",0
"82",0.0372701829210461
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0.026192884459652
"89",0.0135471661042176
"90",0
"91",0
"92",0.0101446484570094
"93",0
"94",0
"95",0
"96",0
"97",-0.00998115924986316
"98",0
"99",0
"100",0.00176467659370148
"101",0
