"","x"
"1",0.442899051401363
"2",-1.725596516466
"3",0.821112711387397
"4",0.590981547884829
"5",0.297332527160983
"6",0.0768324227094673
"7",0.0199080580311701
"8",0
"9",-0.02789318471229
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",-0.00318494906056926
"17",0
"18",0
"19",0.0430457233562002
"20",0.00494886520919553
"21",-0.00519365434934686
"22",0.0202836426066136
"23",0
"24",0
"25",0
"26",0
"27",0.0187645069807607
"28",-0.0507321068515213
"29",-0.0132535058745938
"30",0.0201803813033133
"31",0.00554117615253017
"32",0.0209850247555287
"33",-0.0094443179740554
"34",0
"35",0
"36",0
"37",0.0121442408616913
"38",-0.0373506554419602
"39",0
"40",-0.0109563860487867
"41",0
"42",0
"43",0.032403666793391
"44",0
"45",0
"46",0
"47",-0.0227591035487233
"48",0.00093622655374318
"49",0
"50",0
"51",0
"52",-0.137742858056712
"53",-0.0250684613994184
"54",0.0397321347183618
"55",-0.00264502701267161
"56",0.00744953418151754
"57",0.0285622627680247
"58",0
"59",-0.00143281994659757
"60",0
"61",0
"62",-0.00511627500362969
"63",0.027909506642947
"64",0.00072564734605833
"65",-0.0143088813962773
"66",-0.0352520694945291
"67",0.00948628562718823
"68",-0.0230153922581146
"69",0
"70",0
"71",0.0147049988373114
"72",0
"73",0
"74",-0.00854365600587177
"75",-0.0123703227273234
"76",0
"77",0
"78",0.003817548584736
"79",0
"80",0
"81",0.00554726149422956
"82",0
"83",-0.0209925876158643
"84",0
"85",0
"86",0.0436213220546004
"87",0
"88",0
"89",-0.0115751439141593
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",-0.00901867382861071
"98",0
"99",0
"100",0.0248425649885174
"101",0
