"","x"
"V1",0.251560116155693
"V2",-1.78675135556381
"V3",0.961238827098246
"V4",0.728362690966452
"V5",0.276415796017248
"V6",0.0713888148869749
"V7",0
"V8",0
"V9",0
"V10",0
"V11",0
"V12",0
"V13",0
"V14",0
"V15",0
"V16",0
"V17",0
"V18",0
"V19",0
"V20",0
"V21",0
"V22",0
"V23",0
"V24",0
"V25",0
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
"V51",0
"V52",0
"V53",0
"V54",0
"V55",0
"V56",0
"V57",0
"V58",0
"V59",0
"V60",0
"V61",0
"V62",0
"V63",0
"V64",0
"V65",0
"V66",0
"V67",0
"V68",0
"V69",0
"V70",0
"V71",0
"V72",0
"V73",0
"V74",0
"V75",0
"V76",0
"V77",0
"V78",0
"V79",0
"V80",0
"V81",0
"V82",0
"V83",0
"V84",0
"V85",0
"V86",0
"V87",0
"V88",0
"V89",0
"V90",0
"V91",0
"V92",0
"V93",0
"V94",0
"V95",0
"V96",0
"V97",0
"V98",0
"V99",0
"V100",0
"V101",0
