"Model","AUPRC","Site"
"Central",0.923765193047083,1
"Site1_Local",0.975443409679031,1
"Site2_Local",0.896395580557507,1
"Site3_Local",0.922670270164423,1
"DAC",0.921789327066101,1
"Meta",0.934959610955532,1
"SHIR",0.921991282793897,1
"fedavg",0.933750886759352,1
"Qfedavg",0.963171346961167,1
"fedavgM",0.933917483460283,1
"coef_fedprox_lr0.01_drop0_mu0",0.913827272571724,1
"Central",0.910823821536055,2
"Site1_Local",0.865850474098438,2
"Site2_Local",0.946387294178648,2
"Site3_Local",0.909575469334323,2
"DAC",0.909713382068137,2
"Meta",0.922179914926835,2
"SHIR",0.909637868482322,2
"fedavg",0.913400890244312,2
"Qfedavg",0.91401392717471,2
"fedavgM",0.913359610838032,2
"coef_fedprox_lr0.01_drop0_mu0",0.903328522582905,2
"Central",0.923884685748388,3
"Site1_Local",0.894569876906795,3
"Site2_Local",0.899990247318969,3
"Site3_Local",0.925977673820687,3
"DAC",0.923701822774572,3
"Meta",0.922610585497576,3
"SHIR",0.921182504204251,3
"fedavg",0.926526753520439,3
"Qfedavg",0.91603655478648,3
"fedavgM",0.92646878846927,3
"coef_fedprox_lr0.01_drop0_mu0",0.922396831197771,3
