"Beta1","Beta2","Beta3","Beta4","Beta5","Beta6","Beta7","Beta8","method","seed"
-2.268133592,1.251236272,1.067713069,0.415489717,0.019588818,-0.008805271,0.245790056,0.07791751,"Local1",1
-2.06140374,1.09180633,0.77083641,0.39638617,0.34153674,0.08265884,0.18850883,-0.02142057,"Local2",1
-2.25940701,1.01919105,0.7563522,0.45991764,0.08526179,0.11211144,0.11612436,-0.05502685,"Local3",1
-2.20408130155381,1.0730875891578,0.804970668867491,0.435418948170408,0.149101352291853,0.0864225986654135,0.155329306850262,-0.0264330052923584,"Meta",1
-2.030687182139,0.945724416923,0.818124190481,0.399107731388,0.216111790089,0.04942510228,-0.066564449528,0.055125723844,"GLORE",1
-2.04866252,0.96752758,0.80089479,0.405738118,0.194868837,0.058659198,-0.001850384,0.029054054,"FedAvg",1
-2.0848305,0.99635423,0.84571331,0.40582895,0.1758458,0.04954521,0.04257028,0.00638027,"q-FedAvg",1
-2.04874479,0.96763071,0.80096547,0.40595925,0.19495059,0.05865652,-0.00179459,0.02911082,"FedAvgM",1
-2.00786853,0.94885777,0.81115888,0.4028223,0.22278455,0.04980566,-0.06042666,0.06300809,"FedProx (μ=0)",1
-2.1696655,1.26527936,0.92553682,0.70578543,0.04201154,0.06817903,0.15889293,-0.01524368,"Local1",10
-2.0067938,1.1866084,0.60316376,0.39154157,0.08520695,0.27598551,0.04838187,0.04012164,"Local2",10
-2.04128322,1.13000844,0.78404087,0.36058965,0.20675095,0.07717371,-0.14620987,0.07978506,"Local3",10
-2.0497694291661,1.16550427605382,0.752575399525083,0.418746736035806,0.148489889108884,0.132692128060197,-0.0470261179719616,0.0548771188327458,"Meta",10
-1.998035640743,1.03023269123,0.806429915407,0.393636540854,0.198497776351,0.125389975111,0.000532111146,-0.018079406384,"GLORE",10
-1.97692875,1.05448527,0.77587563,0.39263949,0.18109486,0.12498816,-0.015046,0.00312355,"FedAvg",10
-1.96487307,1.10187591,0.75812903,0.41613542,0.15423909,0.12101687,0.00712574,0.00413901,"q-FedAvg",10
-1.92936778,1.09562839,0.73460481,0.37875276,0.15891665,0.12607755,-0.00778632,0.00990435,"FedAvgM",10
-2.00401299,1.03139654,0.811183095,0.395924151,0.197730735,0.126487775,-0.0005729422,-0.0190390069,"FedProx (μ=0)",10
-1.9918107,1.1109867,0.8203251,0.3767032,0.3346095,0.1134549,0.1243132,0.136526,"Local1",11
-1.76677877,1.0062902,0.52780871,0.46240892,0.2437341,-0.05388703,0.12376855,-0.0834459,"Local2",11
-2.3344020272,1.0150178792,0.9331372615,0.4348116649,0.1665664753,0.2331959589,0.0008687505,0.113926439,"Local3",11
-2.12328233399245,1.02623408299418,0.801213076008559,0.434395392176083,0.212620514141189,0.134066389346967,0.0536179058575441,0.0607628441749319,"Meta",11
-1.885491413015,0.937342701501,0.775408829224,0.282024886468,0.2242748779,0.076047491495,-0.044666096976,-0.062388345211,"GLORE",11
-1.93095056,0.95048586,0.77444552,0.32582469,0.21557128,0.09310472,-0.0179657,-0.02326297,"FedAvg",11
-1.88563239,0.95811116,0.75696338,0.34242178,0.22939166,0.10379447,0.0199439,-0.02581164,"q-FedAvg",11
-1.93099725,0.95047311,0.77444343,0.32581571,0.21554984,0.0931115,-0.01796965,-0.02332268,"FedAvgM",11
-1.91208027,0.94561414,0.78161774,0.28322837,0.22058495,0.07257273,-0.04960776,-0.06044139,"FedProx (μ=0)",11
-2.27534674,1.27137398,1.09027194,0.29130026,0.73203057,0.19796929,-0.02628862,0.16540893,"Local1",12
-1.9611851,0.8203453,0.606762,0.4010903,0.1204178,0.1924754,-0.1663068,-0.2248925,"Local2",12
-2.09609151,0.949758968,0.745114054,0.335610831,-0.019097278,0.007716741,-0.03662512,0.024121614,"Local3",12
-2.08315472098408,0.958728641251623,0.754893166316918,0.347989170986408,0.128068145081482,0.0876838575260112,-0.0722003865293795,-0.0268413721547769,"Meta",12
-2.03135691169,1.024962894949,0.748615290952,0.423798190526,0.199274567971,0.078010859954,-0.023280816906,0.014684415459,"GLORE",12
-2.01247913,0.985888844,0.736103602,0.395185448,0.168545751,0.0776056393,-0.0356777444,-0.0003142383,"FedAvg",12
-1.97642908,0.956294675,0.71941275,0.347908858,0.209815826,0.110018333,-0.058171161,-0.001876757,"q-FedAvg",12
-2.01253572,0.985885872,0.736043848,0.39521077,0.168546315,0.0776283721,-0.0356623552,-0.0002863964,"FedAvgM",12
-2.03569099,1.03252627,0.75808621,0.43326111,0.20004106,0.07630768,-0.01613738,0.01574569,"FedProx (μ=0)",12
-2.6167294,1.24461159,1.32580847,0.80477531,0.27410151,-0.08936032,0.15324629,0.27954371,"Local1",13
-2.10032238,1.03210302,1.11966037,0.29821947,0.07574657,0.12939221,0.08076739,0.03860436,"Local2",13
-2.14634659,0.98958756,0.79411026,0.39061689,0.2009472,0.05642373,-0.06144763,0.08131227,"Local3",13
